name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name
"LittleEasy Bistrobar","2 Serangoon Rd, #01-24 Tekka Place, Singapore 218227","+65 6513 1312","marketing@littleeasybistro.com",1.3050631,103.8514261,"http://www.littleeasybistro.com/","Singapore","Central Singapore Community Development Council","Singapore",4.4,77,"218227","Restaurants","Restaurants,Bars,Pubs,Bistros"
"AT feast Singapore","16A Dempsey Rd, Singapore 247695","+65 8121 5763","Sayhello@b-together.sg",1.3052668,103.8111256,"https://singapore.b-together.com/at-feast/","Singapore","Central Singapore Community Development Council","Singapore",3.9,262,"247695","Restaurants","Restaurants"
"Sky22 @ Courtyard by Marriott","99 Irrawaddy Rd, Level 22, Singapore 329568","+65 6378 2040","fnb.courtyardsg@marriott.com",1.3205847,103.843232,"https://www.marriott.com/en-us/hotels/sincy-courtyard-singapore-novena/dining/sky22/","Singapore","Central Singapore Community Development Council","Singapore",3.8,271,"329568","Restaurants","Restaurants"
"PS.Cafe Palais Renaissance","390 Orchard Rd, #02 - 09A, Singapore 238871","+65 6708 9288","contact@pscafe.com",1.3068808,103.8297596,"http://www.pscafe.com/pscafe-at-palais-renaissance/","Singapore","Central Singapore Community Development Council","Singapore",4.3,1043,"238871","Restaurants","Restaurants,Cafes"
"Town Restaurant","1 Fullerton Square, Singapore 049178","+65 3129 8125","dining-rsvp@fullertonhotels.com",1.286328,103.853084,"https://www.fullertonhotels.com/fullerton-hotel-singapore/dining/restaurants-and-bars/town-restaurant","Singapore","Central Singapore Community Development Council","Singapore",4.1,562,"049178","Restaurants","Restaurants"
"Lai Huat Signatures (Sembawang)","20 Jln Tampang, Singapore 758964","+65 6235 0278","manager@laihuatbuffet.com",1.4416557,103.8234663,"https://laihuatbuffet.com/location/","Singapore","North West Community Development Council","",4,73,"758964","Restaurants","Restaurants"
"Entrance","22A Tg Pagar Rd, Singapore 088445","+65 8808 9361","info@entrance.sg",1.2798205,103.8438227,"https://entrance.sg/","Singapore","Central Singapore Community Development Council","Singapore",4.5,93,"088445","Restaurants","Restaurants"
"Marina Bay Sands Singapore","10 Bayfront Ave, Singapore 018956","+65 6688 8868","room.reservations@marinabaysands.com",1.2837575,103.8591065,"https://www.marinabaysands.com/?utm_source=google&utm_medium=GMB&utm_campaign=hotel_info_main","Singapore","Central Singapore Community Development Council","Singapore",4.6,46997,"018956","Restaurants","Restaurants,Hotels,Tourist attractions"
"The Assembly Ground, Cineleisure (Somerset)","8 Grange Rd, #01-01, Singapore 239695","+65 6732 2123","hello@theassemblyground.com",1.3013123,103.8365617,"https://www.theassemblyground.com/","Singapore","Central Singapore Community Development Council","Singapore",4.6,1680,"239695","Restaurants","Restaurants,Cafes"
"Appetite","72A Amoy St, Singapore 069891","+65 9751 5300","info@appetitesg.com",1.2802268,103.8467076,"http://appetitesg.com/","Singapore","Central Singapore Community Development Council","Singapore",4.8,75,"069891","Restaurants","Art galleries,Restaurants"
